new entry "MultiStrike_Vault"
type "SkillData"
data "SkillType" "MultiStrike"
data "ForGameMaster" "Yes"
data "Ability" "Rogue"
data "Tier" "Starter"
data "Requirement" "DaggerWeapon"
data "ActionPoints" "1"
data "Cooldown" "3"
data "Damage Multiplier" "85"
data "SkillProperties" "AlwaysBackstab"
data "TargetRadius" "8"
data "DeathType" "Physical"
data "MaxAttacks" "1"
data "NextAttackChance" "100"
data "NextAttackChanceDivider" "1"
data "EndPosRadius" "2"
data "JumpDelay" "300"
data "MemorizationRequirements" "RogueLore 1"
data "TargetConditions" "Character;NonSelf;!Tagged:BLOCK_FORK"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "Icon" "Skill_Rogue_Vault"
data "DisplayName" "MultiStrike_Vault_DisplayName"
data "DisplayNameRef" "|Vault|"
data "Description" "MultiStrike_Vault_Description"
data "DescriptionRef" "|Jump over the enemy, landing behind their back and backstabbing them for [1] damage.|"
data "StatsDescriptionParams" "Damage"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Rogue_Vault_Prepare_Root_01,KeepRot,Detach"
data "CastAnimation" "skill_attack_flurry_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Rogue_Vault_Cast_Overlay_01;RS3_FX_Skills_Rogue_Vault_Cast_Root_01:root:cast"
data "MaleImpactEffects" "RS3_FX_Skills_Rogue_Vault_Impact_01"
data "FemaleImpactEffects" "RS3_FX_Skills_Rogue_Vault_Impact_01"
data "ReappearEffect" "RS3_FX_Skills_Rogue_Vault_Reappear_Root_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "OverrideMinAP" "Yes"
data "CycleConditions" "Enemy"

