new entry "Teleportation_OdinSCO_Netherswap"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "No"
data "ActionPoints" "0"
data "Cooldown" "0"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetRadius" "99"
data "AreaRadius" "99"
data "HitRadius" "1"
data "Height" "5"
data "Acceleration" "20000"
data "TeleportDelay" "500"
data "TargetConditions" "Character"
data "TeleportSelf" "Yes"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "No"
data "Icon" "Skill_Air_NetherSwap"
data "DisplayName" "Teleportation_Netherswap_DisplayName"
data "DisplayNameRef" "Netherswap"
data "Description" "Teleportation_Netherswap_Description"
data "DescriptionRef" "Make two characters switch places. One of the characters can be you."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Void_Netherswap_Prepare_Root_01:root;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand01;RS3_FX_Skills_Void_Netherswap_Prepare_Hand_Hand_01:Dummy_L_HandFX:hand02"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Void_01"
data "DisappearEffect" "RS3_FX_Skills_Void_Netherswap_Disappear_Root_01,Detach;RS3_FX_Skills_Void_Netherswap_Disappear_Overlay_01"
data "ReappearEffect" "RS3_FX_Skills_Void_Netherswap_Reappear_01"
data "CycleConditions" "Character;!Dead"
